name,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,per_class
logreg_c0.1_none,0.7445482866043613,0.718089133533252,0.7116183682448742,0.7116153153387197,0.7468109264191984,"{'负向': {'precision': 0.7424242424242424, 'recall': 0.6282051282051282, 'f1': 0.6805555555555556, 'support': 78}, '中性': {'precision': 0.5652173913043478, 'recall': 0.6753246753246753, 'f1': 0.6153846153846154, 'support': 77}, '正向': {'precision': 0.8466257668711656, 'recall': 0.8313253012048193, 'f1': 0.8389057750759878, 'support': 166}}"
linearsvc_c0.01_none,0.7445482866043613,0.718089133533252,0.7116183682448742,0.7116153153387197,0.7468109264191984,"{'负向': {'precision': 0.7424242424242424, 'recall': 0.6282051282051282, 'f1': 0.6805555555555556, 'support': 78}, '中性': {'precision': 0.5652173913043478, 'recall': 0.6753246753246753, 'f1': 0.6153846153846154, 'support': 77}, '正向': {'precision': 0.8466257668711656, 'recall': 0.8313253012048193, 'f1': 0.8389057750759878, 'support': 166}}"
linearsvc_c0.01_balanced,0.7383177570093458,0.7131456070135315,0.7076023039878461,0.7062115672809314,0.7423725278616965,"{'负向': {'precision': 0.7424242424242424, 'recall': 0.6282051282051282, 'f1': 0.6805555555555556, 'support': 78}, '中性': {'precision': 0.5416666666666666, 'recall': 0.6753246753246753, 'f1': 0.6011560693641619, 'support': 77}, '正向': {'precision': 0.8553459119496856, 'recall': 0.8192771084337349, 'f1': 0.8369230769230769, 'support': 166}}"
logreg_c1.0_none,0.7383177570093458,0.7114436973399667,0.7076578040433462,0.704828738512949,0.7427709460567306,"{'负向': {'precision': 0.7272727272727273, 'recall': 0.6153846153846154, 'f1': 0.6666666666666666, 'support': 78}, '中性': {'precision': 0.5408163265306123, 'recall': 0.6883116883116883, 'f1': 0.6057142857142858, 'support': 77}, '正向': {'precision': 0.8662420382165605, 'recall': 0.8192771084337349, 'f1': 0.8421052631578947, 'support': 166}}"
linearsvc_c0.1_none,0.7320872274143302,0.7092433809137738,0.703641739786318,0.7005750850127622,0.7377242033004128,"{'负向': {'precision': 0.7384615384615385, 'recall': 0.6153846153846154, 'f1': 0.6713286713286714, 'support': 78}, '中性': {'precision': 0.5247524752475248, 'recall': 0.6883116883116883, 'f1': 0.5955056179775281, 'support': 77}, '正向': {'precision': 0.864516129032258, 'recall': 0.8072289156626506, 'f1': 0.8348909657320872, 'support': 166}}"
logreg_c0.1_balanced,0.7289719626168224,0.707235248411719,0.701633707657804,0.698252480759464,0.7350433075600151,"{'负向': {'precision': 0.7384615384615385, 'recall': 0.6153846153846154, 'f1': 0.6713286713286714, 'support': 78}, '中性': {'precision': 0.5196078431372549, 'recall': 0.6883116883116883, 'f1': 0.5921787709497207, 'support': 77}, '正向': {'precision': 0.8636363636363636, 'recall': 0.8012048192771084, 'f1': 0.83125, 'support': 166}}"
linearsvc_c0.1_balanced,0.7258566978193146,0.7052565810989568,0.69962567552929,0.6959345890380373,0.7323594739965994,"{'负向': {'precision': 0.7384615384615385, 'recall': 0.6153846153846154, 'f1': 0.6713286713286714, 'support': 78}, '中性': {'precision': 0.5145631067961165, 'recall': 0.6883116883116883, 'f1': 0.5888888888888889, 'support': 77}, '正向': {'precision': 0.8627450980392157, 'recall': 0.7951807228915663, 'f1': 0.8275862068965517, 'support': 166}}"
linearsvc_c1.0_none,0.7258566978193146,0.7054993252361674,0.69962567552929,0.6957175698966589,0.7329248590974674,"{'负向': {'precision': 0.7384615384615385, 'recall': 0.6153846153846154, 'f1': 0.6713286713286714, 'support': 78}, '中性': {'precision': 0.5096153846153846, 'recall': 0.6883116883116883, 'f1': 0.585635359116022, 'support': 77}, '正向': {'precision': 0.868421052631579, 'recall': 0.7951807228915663, 'f1': 0.8301886792452831, 'support': 166}}"
logreg_c10.0_none,0.7289719626168224,0.6983961851919599,0.6992017353463137,0.6955585405594135,0.734836958905987,"{'负向': {'precision': 0.704225352112676, 'recall': 0.6410256410256411, 'f1': 0.6711409395973155, 'support': 78}, '中性': {'precision': 0.5208333333333334, 'recall': 0.6493506493506493, 'f1': 0.5780346820809249, 'support': 77}, '正向': {'precision': 0.8701298701298701, 'recall': 0.8072289156626506, 'f1': 0.8375, 'support': 166}}"
logreg_c10.0_balanced,0.719626168224299,0.7035720011910488,0.697875083417252,0.6926032262294243,0.7290745270366662,"{'负向': {'precision': 0.7424242424242424, 'recall': 0.6282051282051282, 'f1': 0.6805555555555556, 'support': 78}, '中性': {'precision': 0.49074074074074076, 'recall': 0.6883116883116883, 'f1': 0.572972972972973, 'support': 77}, '正向': {'precision': 0.8775510204081632, 'recall': 0.7771084337349398, 'f1': 0.8242811501597445, 'support': 166}}"
linearsvc_c1.0_balanced,0.719626168224299,0.7017094017094018,0.6956096112722618,0.6911161513776164,0.7275607717782676,"{'负向': {'precision': 0.7384615384615385, 'recall': 0.6153846153846154, 'f1': 0.6713286713286714, 'support': 78}, '中性': {'precision': 0.5, 'recall': 0.6883116883116883, 'f1': 0.5792349726775956, 'support': 77}, '正向': {'precision': 0.8666666666666667, 'recall': 0.7831325301204819, 'f1': 0.8227848101265823, 'support': 166}}"
logreg_c1.0_balanced,0.7133956386292835,0.6958215649804435,0.6915935470152338,0.6860134157974093,0.7217952500623311,"{'负向': {'precision': 0.7272727272727273, 'recall': 0.6153846153846154, 'f1': 0.6666666666666666, 'support': 78}, '中性': {'precision': 0.4953271028037383, 'recall': 0.6883116883116883, 'f1': 0.5760869565217391, 'support': 77}, '正向': {'precision': 0.8648648648648649, 'recall': 0.7710843373493976, 'f1': 0.8152866242038217, 'support': 166}}"
